query,baseline_hits,expanded_hits,incremental_hits,subquery_count,baseline_latency,expanded_latency,baseline_recall,baseline_precision,baseline_topk,expanded_recall,expanded_precision,expanded_topk
"ORLANDO UNIVERSITY; R: 28.2,-81.6,28.8,-81.1","[133872, 456490]","[133872, 456490, 461005]",[461005],4,2.230337300003157,8.859195099998033,1.0,1.0,1.0,0.3,1.0,0.3
"ENGINEERING COLLEGE; R: 27.5,-82.0,28.5,-80.5",[],[],[],7,5.118200000011711,35.73964040000283,1.0,1.0,1.0,0.0,0.0,0.0
"MIAMI MEDICAL; R: 25.7,-80.5,26.4,-80.0",[],[],[],3,2.1836509999993723,6.5543002000049455,1.0,1.0,1.0,0.0,0.0,0.0
"CALIFORNIA TECHNOLOGY; R: 33.5,-118.5,38.0,-121.0",[],[],[],1,22.455683499996667,22.740925099991728,0.0,0.0,0.0,0.0,0.0,0.0
"BOSTON BUSINESS; R: 41.8,-71.3,43.2,-70.6",[],[],[],3,3.927676400009659,11.216967700005625,1.0,1.0,1.0,1.0,1.0,1.0
"NEW YORK UNIVERSITY; R: 40.4,-74.3,41.0,-73.6",[],"[192864, 190594, 190512, 192271]","[190512, 190594, 192271, 192864]",4,3.353078000000096,13.600147899996955,0.0,0.0,0.0,0.14814814814814814,1.0,0.4
"LOS ANGELES COLLEGE; R: 33.5,-118.7,34.3,-117.5",[],[],[],4,4.115843200008385,15.80490689999715,0.0,0.0,0.0,0.0,0.0,0.0
"SEATTLE TECHNOLOGY; R: 47.2,-122.6,47.9,-122.0",[],[],[],1,2.857730799994897,2.875630900001852,1.0,1.0,1.0,1.0,1.0,1.0
"AUSTIN BUSINESS; R: 29.9,-98.0,30.6,-97.2",[],[],[],3,2.8631945999950403,8.624273399997037,1.0,1.0,1.0,1.0,1.0,1.0
"CHICAGO MEDICAL; R: 41.4,-88.0,42.1,-87.3",[],[],[],3,2.8714022999920417,8.638102900004014,1.0,1.0,1.0,1.0,1.0,1.0
